consumption_id,job_rn,sku,qty,actorId,actorRole,ts,note
CON-0001,RN-20260513-0003,MAT-002,2,TAILOR-002,tailor,2026-05-12T10:00:00Z,Used for waistband
CON-0002,RN-20260513-0010,MAT-003,3,TAILOR-001,tailor,2026-05-12T13:00:00Z,Buttons and trims
CON-0003,RN-20260513-0001,MAT-001,2,TAILOR-001,tailor,2026-05-10T08:00:00Z,Main fabric
CON-0004,RN-20260513-0007,MAT-001,1,TAILOR-002,tailor,2026-05-12T09:20:00Z,Repair thread
CON-0005,RN-20260513-0004,MAT-004,4,TAILOR-001,tailor,2026-05-12T10:00:00Z,Linen panels
CON-0006,RN-20260513-0005,MAT-005,3,TAILOR-002,tailor,2026-05-12T16:20:00Z,Lining pieces
CON-0007,RN-20260513-0006,MAT-001,1,TAILOR-003,tailor,2026-05-12T11:15:00Z,Small repair
CON-0008,RN-20260513-0010,MAT-009,5,TAILOR-001,tailor,2026-05-12T14:45:00Z,Decorative buttons
CON-0009,RN-20260513-0003,MAT-002,2,TAILOR-002,tailor,2026-05-12T13:00:00Z,Zip replacements
CON-0010,RN-20260513-0001,MAT-010,2,ADMIN-001,boss,2026-05-12T15:00:00Z,Added extra buttons
